Average, Lower Bound, Upper Bound, Rho, Capacity, Model-Version
 1456774.07475, 1402645.22539, 1510902.92411, 0.5, 2200, Model 4.2
 1511360.66057, 1417355.1, 1605366.22113, 0.5, 2200, Model 4.3
 1275616.4673, 1269615.87995, 1281617.05465, 0.5, 2600, Model 1.0
 1455498.34048, 1448318.91426, 1462677.7667, 0.5, 2600, Model 2.0
 1456820.58578, 1444844.21455, 1468796.957, 0.5, 2600, Model 2.1
 1809039.65038, 1794304.23901, 1823775.06174, 0.5, 2600, Model 3.0
 1810065.20124, 1789658.23987, 1830472.16261, 0.5, 2600, Model 3.1
 1426480.56875, 1417887.03008, 1435074.10741, 0.5, 2600, Model 4.0
 1425667.01962, 1419941.4902, 1431392.54904, 0.5, 2600, Model 4.1
 1312643.32584, 1300816.81065, 1324469.84102, 0.5, 2600, Model 4.2
 1315983.12987, 1307668.61474, 1324297.64499, 0.5, 2600, Model 4.3
 1487321.11901, 1478201.99552, 1496440.24249, 0.7, 1800, Model 1.0
 1536027.65161, 1530818.10775, 1541237.19547, 0.7, 1800, Model 2.0
 1534970.39823, 1528066.39073, 1541874.40574, 0.7, 1800, Model 2.1
 1898529.98953, 1881669.67453, 1915390.30452, 0.7, 1800, Model 3.0
 1897426.70932, 1874977.96431, 1919875.45433, 0.7, 1800, Model 3.1
 1526372.49036, 1518078.02547, 1534666.95526, 0.7, 1800, Model 4.0
 1527287.54226, 1521428.09783, 1533146.98669, 0.7, 1800, Model 4.1
 1620261.10536, 1573702.71636, 1666819.49436, 0.7, 1800, Model 4.2
 1639610.50592, 1585403.01593, 1693817.99591, 0.7, 1800, Model 4.3
 1505680.92893, 1493866.41693, 1517495.44093, 0.7, 2200, Model 1.0
 1609244.16444, 1599997.06667, 1618491.2622, 0.7, 2200, Model 2.0
 1608305.46865, 1597372.97313, 1619237.96416, 0.7, 2200, Model 2.1
 1957478.7811, 1941497.50766, 1973460.05454, 0.7, 2200, Model 3.0
 1957108.73411, 1935212.50079, 1979004.96743, 0.7, 2200, Model 3.1
 1585094.98951, 1574871.70637, 1595318.27265, 0.7, 2200, Model 4.0
 1587523.19822, 1582064.28752, 1592982.10891, 0.7, 2200, Model 4.1
 1678038.13535, 1630476.25873, 1725600.01197, 0.7, 2200, Model 4.2
 1681204.37164, 1647656.74178, 1714752.0015, 0.7, 2200, Model 4.3
 1504675.23293, 1493757.19685, 1515593.269, 0.7, 2600, Model 1.0
 1661094.35006, 1651665.93339, 1670522.76673, 0.7, 2600, Model 2.0
 1665036.17395, 1656403.35919, 1673668.98872, 0.7, 2600, Model 2.1
 1996346.55416, 1987544.89273, 2005148.21559, 0.7, 2600, Model 3.0
 1993240.90806, 1978023.50524, 2008458.31087, 0.7, 2600, Model 3.1
 1635597.75524, 1629448.66083, 1641746.84965, 0.7, 2600, Model 4.0
 1633879.16768, 1626406.70225, 1641351.6331, 0.7, 2600, Model 4.1
 1543325.04599, 1532131.6504, 1554518.44157, 0.7, 2600, Model 4.2
 1542783.06458, 1533068.62672, 1552497.50243, 0.7, 2600, Model 4.3
 1479374.89687, 1467347.33343, 1491402.46031, 0.9, 1800, Model 1.0
 1540777.763, 1532631.73679, 1548923.78922, 0.9, 1800, Model 2.0
 1540348.49673, 1532160.90051, 1548536.09295, 0.9, 1800, Model 2.1
 1888375.68428, 1875029.24494, 1901722.12361, 0.9, 1800, Model 3.0
 1886607.49644, 1870477.81657, 1902737.17631, 0.9, 1800, Model 3.1
 1529088.17339, 1519784.97374, 1538391.37304, 0.9, 1800, Model 4.0
 1528499.29055, 1518962.29496, 1538036.28613, 0.9, 1800, Model 4.1
 1611738.48375, 1563120.85195, 1660356.11555, 0.9, 1800, Model 4.2
 1623051.16129, 1568557.90716, 1677544.41541, 0.9, 1800, Model 4.3
 1740382.93337, 1729393.17735, 1751372.68939, 0.9, 2200, Model 1.0
 1817688.69687, 1812782.83593, 1822594.55781, 0.9, 2200, Model 2.0
 1817265.97705, 1807874.971, 1826656.9831, 0.9, 2200, Model 2.1
 2142106.81174, 2125364.1171, 2158849.50639, 0.9, 2200, Model 3.0
 2144587.46688, 2124434.17363, 2164740.76013, 0.9, 2200, Model 3.1
 1801782.3675, 1791642.41096, 1811922.32405, 0.9, 2200, Model 4.0
 1804156.5734, 1792165.60854, 1816147.53825, 0.9, 2200, Model 4.1
 1890240.61233, 1810570.62209, 1969910.60256, 0.9, 2200, Model 4.2
 1861149.67285, 1788806.57348, 1933492.77223, 0.9, 2200, Model 4.3
 1736568.83561, 1725023.66623, 1748114.00499, 0.9, 2600, Model 1.0
 1871446.6493, 1862244.03411, 1880649.26449, 0.9, 2600, Model 2.0
 1875085.14901, 1864945.4321, 1885224.86592, 0.9, 2600, Model 2.1
 2178239.68101, 2172494.25289, 2183985.10913, 0.9, 2600, Model 3.0
 2176746.36674, 2160950.8698, 2192541.86368, 0.9, 2600, Model 3.1
 1849363.5717, 1839521.98655, 1859205.15686, 0.9, 2600, Model 4.0
 1851719.29689, 1841949.55618, 1861489.0376, 0.9, 2600, Model 4.1
 1787800.19408, 1772242.94362, 1803357.44454, 0.9, 2600, Model 4.2
 1778436.98323, 1767041.06382, 1789832.90264, 0.9, 2600, Model 4.3
